*Nodes

0,-0.1,0
-0,-0.0857142857142857,-0
-0,-0.0714285714285714,-0
-0,-0.0571428571428571,-0
0,-0.0428571428571429,0
0,-0.0285714285714286,0
0,-0.0142857142857143,0
0,0,0
0.00714285714285714,0.0123714285714286,-0
0.0142857142857143,0.0247428571428571,-0
0.0214285714285714,0.0371142857142857,-0
0.0285714285714286,0.0494857142857143,0
0.0357142857142857,0.0618571428571429,0
0.0428571428571429,0.0742285714285714,0
0.05,0.0866,0
-0.00714285714285714,0.0123714285714286,-0
-0.0142857142857143,0.0247428571428571,-0
-0.0214285714285714,0.0371142857142857,-0
-0.0285714285714286,0.0494857142857143,0
-0.0357142857142857,0.0618571428571429,0
-0.0428571428571429,0.0742285714285714,0
-0.05,0.0866,0
*Edges
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
8,10
10,11
8,11
11,12
8,12
12,13
8,13
13,14
8,14
14,15
8,15
8,16
16,17
8,17
17,18
8,18
18,19
8,19
19,20
8,20
20,21
8,21
21,22
8,22
